rank,id,lon,lat,area,source,
321,7040707810,-114.54375,32.72291667,148871.94,hydrosheds,
322,1040644920,-11.38958333,14.42291667,148278.58,hydrosheds,
323,3040679750,106.1354167,50.25208333,148134.74,hydrosheds,
324,7040402320,-73.78958333,45.39791667,147405.8,hydrosheds,
325,3040024310,93.40208333,49.11458333,146784.7,hydrosheds,
326,5040524780,146.3145833,-29.94791667,146317.34,hydrosheds,
327,1040641660,-4.20625,14.50625,145807.12,hydrosheds,
328,6040040470,-68.12708333,-19.18541667,145278.98,hydrosheds,
329,1040840230,18.08958333,9.45625,144860.36,hydrosheds,
330,1041014460,44.96875,5.03125,144786.02,hydrosheds,
331,4040017030,100.5604167,13.61458333,144308.82,hydrosheds,
332,4040050250,63.29791667,48.14791667,143951.68,hydrosheds,
333,6040709820,-51.03541667,-20.16875,143484.02,hydrosheds,
334,4040234430,74.09791667,46.04791667,141350.34,hydrosheds,
335,5040069590,150.7020833,-23.50625,140914.34,hydrosheds,
336,1040040270,48.73541667,6.402083333,140784.34,hydrosheds,
337,3040496590,71.18541667,57.69791667,139340.12,hydrosheds,
338,4040015000,106.53125,20.31458333,138855.56,hydrosheds,
339,1992790,34.81,-16.03,138600,grdc,
340,2040024170,9.864583333,53.54375,138382.28,hydrosheds,
341,6040084750,-66.34375,7.61875,136723.62,hydrosheds,
342,1041533240,24.84791667,-21.19791667,136520.94,hydrosheds,
343,5101301,150.107,-23.089,135757,grdc,
344,2040085540,51.96041667,22.74791667,135645.44,hydrosheds,
345,7040028670,-68.48125,58.02708333,135538.46,hydrosheds,
346,4040027100,86.65625,20.33125,135526.08,hydrosheds,
347,4040627620,110.2729167,34.61041667,135138.94,hydrosheds,
348,7040024290,-81.57291667,52.29375,134726.16,hydrosheds,
349,6040527680,-50.71041667,-11.75208333,134697.62,hydrosheds,
350,1040021500,9.652083333,3.547916667,133624.4,hydrosheds,
351,1041548760,29.03125,-22.22708333,133109.78,hydrosheds,
352,5204451,148.061,-30.0153,132200,grdc,
353,6340110,10.88881,53.232275,131950,grdc,
354,3040679760,106.1395833,50.25208333,131779.3,hydrosheds,
355,7040194980,-105.0770833,53.23125,131442.04,hydrosheds,
356,1040040280,27.37708333,17.49791667,131109.62,hydrosheds,
357,2040315940,41.87708333,54.74791667,130724.4,hydrosheds,
358,3040203170,65.77708333,66.14375,130409.32,hydrosheds,
359,1992700,35.2,-15.07,130200,grdc,
360,1041515780,23.36875,-20.14375,129704.1,hydrosheds,
361,5040068450,147.5229167,-19.66458333,129696.24,hydrosheds,
362,1040641670,-4.202083333,14.50625,129494.38,hydrosheds,
363,7040013550,-121.94375,38.05625,124352.62,hydrosheds,
364,3040006250,99.73541667,76.11458333,123854.82,hydrosheds,
365,7040050920,-92.67291667,18.56458333,123641.06,hydrosheds,
366,8040004910,-162.41875,60.03541667,123076.7,hydrosheds,
367,7040006390,-105.44375,21.63958333,122677.26,hydrosheds,
368,7040194860,-105.0854167,53.23541667,121598.86,hydrosheds,
369,1159490,24.60069589,-28.51622689,121220,grdc,
370,5040456070,138.93125,-26.83958333,121112.78,hydrosheds,
371,2260500,96.1,21.98,120193,grdc,
372,2040400100,30.49791667,51.17708333,119911.42,hydrosheds,
373,4041108580,105.51875,15.31875,119867.8,hydrosheds,
374,2040026060,14.60208333,53.55625,118791.1,hydrosheds,
375,8040013480,-95.33958333,67.15625,118549.88,hydrosheds,
376,4040545690,68.32291667,37.11041667,116798.48,hydrosheds,
377,2040021030,-1.972916667,47.28958333,116722.86,hydrosheds,
378,2040085550,62.98958333,28.23541667,116685.06,hydrosheds,
379,5304140,143.342,-34.8472,116393,grdc,
380,4040298550,76.72708333,44.29791667,115833.18,hydrosheds,
381,7040585110,-109.8895833,38.18958333,115603.28,hydrosheds,
382,8040176200,-152.34375,65.16041667,114608.48,hydrosheds,
383,4040462930,79.41875,39.79791667,113684.54,hydrosheds,
384,4040050260,115.7854167,47.77291667,113024.74,hydrosheds,
385,6040019090,-62.80208333,-40.99375,112937.94,hydrosheds,
386,7040046590,-88.03541667,30.68125,112529.98,hydrosheds,
387,1040873650,-0.98125,8.65625,111517.46,hydrosheds,
388,7040005410,-102.1354167,17.95208333,111463.92,hydrosheds,
389,3040002560,77.88125,67.36458333,111252.32,hydrosheds,
390,6123100,-0.83,47.38,110000,grdc,
391,6457010,14.31777778,52.76416667,109810.7,grdc,
392,4040050270,95.16458333,37.01875,109629.06,hydrosheds,
393,6357010,14.14305556,52.865,109564,grdc,
394,7040048300,-95.37708333,28.87708333,109492.56,hydrosheds,
395,6040102250,-67.45208333,6.19375,109267.18,hydrosheds,
396,1040018120,11.75625,-17.24375,108943.04,hydrosheds,
397,4116186,-116.4209,43.2918,108521,grdc,
398,5040065600,140.7354167,-17.53541667,107783.52,hydrosheds,
399,7040024580,-80.46041667,51.32708333,107727.46,hydrosheds,
400,1041477980,20.48125,-17.94791667,107643.18,hydrosheds,
401,7040022270,-92.24791667,57.01875,107549.66,hydrosheds,
402,2040439160,42.30625,49.60625,107149.02,hydrosheds,
403,6040639920,-45.10208333,-16.56875,107018.46,hydrosheds,
404,7040048410,-95.97708333,28.59791667,106729.92,hydrosheds,
405,2040400110,30.50208333,51.17708333,105812.48,hydrosheds,
406,2040084120,36.68125,25.89375,104464.28,hydrosheds,
407,1040040290,30.48541667,23.51041667,103752,hydrosheds,
408,2040085560,54.78125,21.23958333,103186.68,hydrosheds,
409,1040644790,-11.38958333,14.42708333,102685.1,hydrosheds,
410,1040011670,35.06041667,-20.93125,102590.66,hydrosheds,
411,1040667360,-10.81875,13.81041667,102170.66,hydrosheds,
412,6040752470,-53.11041667,-22.62708333,101738.66,hydrosheds,
413,7040022840,-87.64375,55.98125,101171.98,hydrosheds,
414,6040134460,-67.71041667,4.077083333,100975.12,hydrosheds,
415,5040056460,115.74375,-32.03958333,99518.72,hydrosheds,
416,5040061660,129.9270833,-15.44375,99412.46,hydrosheds,
417,1159302,23.69594394,-29.16201978,99316,grdc,
418,1040023950,-4.977083333,5.139583333,99252.92,hydrosheds,
419,2040491970,40.89375,47.60208333,98720.24,hydrosheds,
420,1196405,28.00392156,-22.93476395,98240,grdc,
421,1040040300,-1.227083333,29.17291667,97980.1,hydrosheds,
422,2040019150,-8.647916667,41.14791667,97238.72,hydrosheds,
423,1041629430,23.63541667,-29.07291667,97116.78,hydrosheds,
424,4040879040,67.87708333,26.41875,97040.42,hydrosheds,
425,7040025560,-78.91041667,53.81458333,96570.1,hydrosheds,
426,4040029530,72.85625,21.66875,96044.16,hydrosheds,
427,2040016230,4.80625,43.38125,95895.46,hydrosheds,
428,5040059440,123.5854167,-17.57708333,95694.54,hydrosheds,
429,5040511570,146.7645833,-29.35625,95584.92,hydrosheds,
430,1040008470,40.51875,-2.53125,95248.84,hydrosheds,
431,6040020000,-65.04791667,-43.32291667,95222.04,hydrosheds,
432,1040040310,0.247916667,22.01458333,94901.74,hydrosheds,
433,1040040320,41.78125,11.15625,94540.7,hydrosheds,
434,1040028960,-11.12291667,28.68125,94290.04,hydrosheds,
435,2040085570,56.38125,35.15625,93374.3,hydrosheds,
436,7040031710,-60.18541667,53.31875,92709.58,hydrosheds,
